,name,director_actor,info,rating_score,rating_num,introduce
12,三傻大闹宝莱坞,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan卡...,2009/印度/剧情喜剧爱情歌舞,9.2,1405883人评价,英俊版憨豆，高情商版谢耳朵。
13,机器人总动员,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt艾丽...,2008/美国/科幻动画冒险,9.3,995392人评价,小瓦力，大人生。
14,放牛班的春天,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:热拉尔·朱尼奥Gé...,2004/法国瑞士德国/剧情音乐,9.3,978152人评价,天籁一般的童声，是最接近上帝的存在。 
15,星际穿越,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,2014/美国英国加拿大冰岛/剧情科幻冒险,9.3,1162015人评价,爱是一种力量，让我们超越时空感知它的存在。
16,大话西游之大圣娶亲,导演:刘镇伟JeffreyLau主演:周星驰StephenChow吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.2,1116766人评价,一生所爱。
17,熔炉,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong郑有美Yu-miJung...,2011/韩国/剧情,9.3,686386人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
18,疯狂动物城,导演:拜伦·霍华德ByronHoward瑞奇·摩尔RichMoore主演:金妮弗·...,2016/美国/喜剧动画冒险,9.2,1339917人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,无间道,导演:刘伟强麦兆辉主演:刘德华梁朝伟黄秋生,2002/中国香港/剧情犯罪悬疑,9.2,908654人评价,香港电影史上永不过时的杰作。
20,龙猫,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka坂本千夏Ch...,1988/日本/动画奇幻冒险,9.2,939625人评价,人人心中都有个龙猫，童年就永远不会消失。
21,教父,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...,1972/美国/剧情犯罪,9.3,685933人评价,千万不要记恨你的对手，这样会让你失去理智。
22,当幸福来敲门,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...,2006/美国/剧情传记家庭,9.1,1131368人评价,平民励志片。 
23,怦然心动,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll卡...,2010/美国/剧情喜剧爱情,9.1,1312112人评价,真正的幸福是来自内心深处。
24,触不可及,导演:奥利维·那卡什OlivierNakache艾力克·托兰达EricToledano主...,2011/法国/剧情喜剧,9.2,732376人评价,满满温情的高雅喜剧。
25,控方证人,导演:比利·怀尔德BillyWilder主演:泰隆·鲍华TyronePower玛琳·...,1957/美国/剧情犯罪悬疑,9.6,299987人评价,比利·怀德满分作品。
26,蝙蝠侠：黑暗骑士,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,2008/美国英国/剧情动作科幻犯罪惊悚,9.2,757458人评价,无尽的黑暗。
27,活着,导演:张艺谋YimouZhang主演:葛优YouGe巩俐LiGong姜武WuJiang,1994/中国大陆中国香港/剧情历史家庭,9.2,589366人评价,张艺谋最好的电影。
28,寻梦环游记,导演:李·昂克里奇LeeUnkrich阿德里安·莫利纳AdrianMolina主演:...,2017/美国/喜剧动画奇幻音乐,9.1,1126146人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
29,末代皇帝,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone陈...,1987/英国意大利中国大陆法国/剧情传记历史,9.3,541986人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
30,乱世佳人,导演:维克多·弗莱明VictorFleming乔治·库克GeorgeCukor主演:费...,1939/美国/剧情历史爱情战争,9.3,504929人评价,Tomorrow is another day.
31,何以为家,导演:娜丁·拉巴基NadineLabaki主演:扎因·拉费阿Zainal-Rafeea...,2018/黎巴嫩法国美国/剧情,9.1,694901人评价,凝视卑弱生命，用电影改变命运。
32,摔跤吧！爸爸,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan法缇玛...,2016/印度/剧情传记运动家庭,9.0,1154716人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33,指环王3：王者无敌,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood西恩...,2003/美国新西兰/剧情动作奇幻冒险,9.2,556766人评价,史诗的终章。
34,飞屋环游记,导演:彼特·道格特PeteDocter鲍勃·彼德森BobPeterson主演:爱德...,2009/美国/剧情喜剧动画冒险,9.0,985215人评价,最后那些最无聊的事情，才是最值得怀念的。 
35,少年派的奇幻漂流,导演:李安AngLee主演:苏拉·沙玛SurajSharma伊尔凡·可汗Irrfan...,2012/美国中国台湾英国加拿大/剧情奇幻冒险,9.1,1050719人评价,瑰丽壮观、无人能及的冒险之旅。
36,十二怒汉,导演:SidneyLumet主演:亨利·方达HenryFonda马丁·鲍尔萨姆Marti...,1957/美国/剧情,9.4,336644人评价,1957年的理想主义。 
37,鬼子来了,导演:姜文WenJiang主演:姜文WenJiang香川照之TeruyukiKagawa...,2000/中国大陆/剧情喜剧,9.2,453188人评价,对敌人的仁慈，就是对自己残忍。
