ranking,name,director_actor,info,rating_score,rating_num,introduce
32,摔跤吧！爸爸,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan法缇玛...,2016/印度/剧情传记运动家庭,9.0,1093754人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
33,指环王3：王者无敌,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood西恩...,2003/美国新西兰/剧情动作奇幻冒险,9.2,529998人评价,史诗的终章。
34,何以为家,导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea...,2018/黎巴嫩法国美国/剧情,9.1,633564人评价,凝视卑弱生命，用电影改变命运。
35,少年派的奇幻漂流,导演:李安AngLee   主演:苏拉·沙玛SurajSharma伊尔凡·可汗Irrfan...,2012/美国中国台湾英国加拿大/剧情奇幻冒险,9.1,1011984人评价,瑰丽壮观、无人能及的冒险之旅。
36,飞屋环游记,导演:彼特·道格特PeteDocter鲍勃·彼德森BobPeterson   主演:爱德...,2009/美国/剧情喜剧动画冒险,9.0,942243人评价,最后那些最无聊的事情，才是最值得怀念的。 
37,十二怒汉,导演:SidneyLumet   主演:亨利·方达HenryFonda马丁·鲍尔萨姆Marti...,1957/美国/剧情,9.4,318417人评价,1957年的理想主义。 
38,鬼子来了,导演:姜文WenJiang   主演:姜文WenJiang香川照之TeruyukiKagawa...,2000/中国大陆/剧情历史战争,9.2,434633人评价,对敌人的仁慈，就是对自己残忍。
39,天空之城,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka横泽启子Ke...,1986/日本/动画奇幻冒险,9.1,597719人评价,对天空的追逐，永不停止。 
40,大话西游之月光宝盒,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.0,846850人评价,旷古烁今。
41,哈尔的移动城堡,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô木村拓...,2004/日本/动画奇幻冒险,9.1,686061人评价,带着心爱的人在天空飞翔。
42,素媛,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol严志媛Ji-wonUhm...,2013/韩国/剧情,9.2,433499人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
43,天堂电影院,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东内拉·阿蒂利Anton...,1988/意大利法国/剧情爱情,9.2,470669人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
44,罗马假日,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn格...,1953/美国/喜剧剧情爱情,9.0,690665人评价,爱情哪怕只有一天。
45,闻香识女人,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino克里斯...,1992/美国/剧情,9.1,599485人评价,史上最美的探戈。
46,辩护人,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong金英爱Yeong-ae...,2013/韩国/剧情,9.2,427956人评价,电影的现实意义大过电影本身。
47,哈利·波特与魔法石,导演:ChrisColumbus   主演:DanielRadcliffeEmmaWatsonRupertGrint,2001/美国英国/奇幻冒险,9.0,645551人评价,童话世界的开端。
48,搏击俱乐部,导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton布拉...,1999/美国德国/剧情动作悬疑惊悚,9.0,623533人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
